Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
24-03-2023,French Beans,40,48,57,1kg
24-03-2023,Garlic,60,72,85,1kg
24-03-2023,Ginger,47,57,67,1kg
24-03-2023,Onion Green,38,46,54,1kg
24-03-2023,Green Peas,76,92,108,1kg
24-03-2023,Ivy Gourd,24,29,34,1kg
24-03-2023,Lemon (Lime),50,61,71,1kg
24-03-2023,Mango Raw,101,122,144,1kg
24-03-2023,Mint Leaves,3,3,4,1kg
24-03-2023,Mushroom,87,105,124,1kg
24-03-2023,Mustard Leaves,12,14,17,1kg
24-03-2023,Ladies Finger,40,48,57,1kg
24-03-2023,Pumpkin,21,25,30,1kg
24-03-2023,Radish,23,27,33,1kg
24-03-2023,Ridge Gourd,30,36,43,1kg
24-03-2023,Shallot (Pearl Onion),36,43,51,1kg
24-03-2023,Snake Gourd,26,31,37,1kg
24-03-2023,Sorrel Leaves,14,17,20,1kg
24-03-2023,Spinach,12,14,17,1kg
24-03-2023,Sweet Potato,37,45,52,1kg
23-03-2023,Onion Big,18,22,26,1kg
23-03-2023,Onion Small,55,66,78,1kg
23-03-2023,Tomato,26,31,37,1kg
23-03-2023,Green Chilli,38,46,54,1kg
23-03-2023,Beetroot,29,35,41,1kg
23-03-2023,Potato,27,32,38,1kg
23-03-2023,Raw Banana (Plantain),11,13,15,1kg
23-03-2023,Amaranth Leaves,13,16,18,1kg
23-03-2023,Amla,70,85,100,1kg
23-03-2023,Ash gourd,25,30,35,1kg
23-03-2023,Baby Corn,56,67,79,1kg
23-03-2023,Banana Flower,19,23,27,1kg
23-03-2023,Capsicum,45,54,64,1kg
23-03-2023,Bitter Gourd,31,37,44,1kg
23-03-2023,Bottle Gourd,29,35,41,1kg
23-03-2023,Butter Beans,44,53,63,1kg
23-03-2023,Broad Beans,36,43,51,1kg
23-03-2023,Cabbage,11,13,15,1kg
23-03-2023,Carrot,31,37,44,1kg
23-03-2023,Cauliflower,24,29,34,1kg
23-03-2023,Cluster beans,43,52,61,1kg
23-03-2023,Coconut,25,30,35,1kg
23-03-2023,Colocasia Leaves,12,14,17,1kg
23-03-2023,Colocasia,24,29,34,1kg
23-03-2023,Coriander Leaves,5,6,7,1kg
23-03-2023,Corn,24,29,34,1kg
23-03-2023,Cucumber,26,31,37,1kg
23-03-2023,Curry Leaves,29,35,41,1kg
23-03-2023,Dill Leaves,14,17,20,1kg
23-03-2023,Drumsticks,90,109,128,1kg
23-03-2023,Brinjal,23,27,33,1kg
23-03-2023,Brinjal (Big),22,26,31,1kg
23-03-2023,Elephant Yam,25,30,35,1kg
23-03-2023,Fenugreek Leaves,9,10,13,1kg
23-03-2023,French Beans,37,45,52,1kg
23-03-2023,Garlic,50,61,71,1kg
23-03-2023,Ginger,44,53,63,1kg
23-03-2023,Onion Green,40,48,57,1kg
23-03-2023,Green Peas,78,94,111,1kg
23-03-2023,Ivy Gourd,22,26,31,1kg
23-03-2023,Lemon (Lime),54,65,77,1kg
23-03-2023,Mango Raw,82,99,116,1kg
23-03-2023,Mint Leaves,5,6,7,1kg
23-03-2023,Mushroom,91,110,129,1kg
23-03-2023,Mustard Leaves,14,17,20,1kg
23-03-2023,Ladies Finger,40,48,57,1kg
23-03-2023,Pumpkin,22,26,31,1kg
23-03-2023,Radish,21,25,30,1kg
23-03-2023,Ridge Gourd,29,35,41,1kg
23-03-2023,Shallot (Pearl Onion),36,43,51,1kg
23-03-2023,Snake Gourd,25,30,35,1kg
23-03-2023,Sorrel Leaves,16,19,22,1kg
23-03-2023,Spinach,15,18,21,1kg
23-03-2023,Sweet Potato,36,43,51,1kg
22-03-2023,Onion Big,18,22,26,1kg
22-03-2023,Onion Small,55,66,78,1kg
22-03-2023,Tomato,26,31,37,1kg
22-03-2023,Green Chilli,38,46,54,1kg
22-03-2023,Beetroot,29,35,41,1kg
22-03-2023,Potato,27,32,38,1kg
22-03-2023,Raw Banana (Plantain),11,13,15,1kg
22-03-2023,Amaranth Leaves,13,16,18,1kg
22-03-2023,Amla,70,85,100,1kg
22-03-2023,Ash gourd,25,30,35,1kg
22-03-2023,Baby Corn,56,67,79,1kg
22-03-2023,Banana Flower,19,23,27,1kg
22-03-2023,Capsicum,45,54,64,1kg
22-03-2023,Bitter Gourd,31,37,44,1kg
22-03-2023,Bottle Gourd,29,35,41,1kg
22-03-2023,Butter Beans,44,53,63,1kg
22-03-2023,Broad Beans,36,43,51,1kg
22-03-2023,Cabbage,11,13,15,1kg
22-03-2023,Carrot,31,37,44,1kg
22-03-2023,Cauliflower,24,29,34,1kg
22-03-2023,Cluster beans,43,52,61,1kg
22-03-2023,Coconut,25,30,35,1kg
22-03-2023,Colocasia Leaves,12,14,17,1kg
22-03-2023,Colocasia,24,29,34,1kg
22-03-2023,Coriander Leaves,5,6,7,1kg
22-03-2023,Corn,24,29,34,1kg
22-03-2023,Cucumber,26,31,37,1kg
22-03-2023,Curry Leaves,29,35,41,1kg
22-03-2023,Dill Leaves,14,17,20,1kg
22-03-2023,Drumsticks,90,109,128,1kg
22-03-2023,Brinjal,23,27,33,1kg
22-03-2023,Brinjal (Big),22,26,31,1kg
22-03-2023,Elephant Yam,25,30,35,1kg
22-03-2023,Fenugreek Leaves,9,10,13,1kg
22-03-2023,French Beans,37,45,52,1kg
22-03-2023,Garlic,50,61,71,1kg
22-03-2023,Ginger,44,53,63,1kg
22-03-2023,Onion Green,40,48,57,1kg
22-03-2023,Green Peas,78,94,111,1kg
22-03-2023,Ivy Gourd,22,26,31,1kg
22-03-2023,Lemon (Lime),54,65,77,1kg
22-03-2023,Mango Raw,82,99,116,1kg
22-03-2023,Mint Leaves,5,6,7,1kg
22-03-2023,Mushroom,91,110,129,1kg
22-03-2023,Mustard Leaves,14,17,20,1kg
22-03-2023,Ladies Finger,40,48,57,1kg
22-03-2023,Pumpkin,22,26,31,1kg
22-03-2023,Radish,21,25,30,1kg
22-03-2023,Ridge Gourd,29,35,41,1kg
22-03-2023,Shallot (Pearl Onion),36,43,51,1kg
22-03-2023,Snake Gourd,25,30,35,1kg
22-03-2023,Sorrel Leaves,16,19,22,1kg
22-03-2023,Spinach,15,18,21,1kg
22-03-2023,Sweet Potato,36,43,51,1kg
21-03-2023,Onion Big,18,22,26,1kg
21-03-2023,Onion Small,55,66,78,1kg
21-03-2023,Tomato,26,31,37,1kg
21-03-2023,Green Chilli,38,46,54,1kg
21-03-2023,Beetroot,29,35,41,1kg
21-03-2023,Potato,27,32,38,1kg
21-03-2023,Raw Banana (Plantain),11,13,15,1kg
21-03-2023,Amaranth Leaves,13,16,18,1kg
21-03-2023,Amla,70,85,100,1kg
21-03-2023,Ash gourd,25,30,35,1kg
21-03-2023,Baby Corn,56,67,79,1kg
21-03-2023,Banana Flower,19,23,27,1kg
21-03-2023,Capsicum,45,54,64,1kg
21-03-2023,Bitter Gourd,31,37,44,1kg
21-03-2023,Bottle Gourd,29,35,41,1kg
21-03-2023,Butter Beans,44,53,63,1kg
21-03-2023,Broad Beans,36,43,51,1kg
21-03-2023,Cabbage,11,13,15,1kg
21-03-2023,Carrot,31,37,44,1kg
21-03-2023,Cauliflower,24,29,34,1kg
21-03-2023,Cluster beans,43,52,61,1kg
21-03-2023,Coconut,25,30,35,1kg
21-03-2023,Colocasia Leaves,12,14,17,1kg
21-03-2023,Colocasia,24,29,34,1kg
21-03-2023,Coriander Leaves,5,6,7,1kg
21-03-2023,Corn,24,29,34,1kg
21-03-2023,Cucumber,26,31,37,1kg
21-03-2023,Curry Leaves,29,35,41,1kg
21-03-2023,Dill Leaves,14,17,20,1kg
21-03-2023,Drumsticks,90,109,128,1kg
21-03-2023,Brinjal,23,27,33,1kg
21-03-2023,Brinjal (Big),22,26,31,1kg
21-03-2023,Elephant Yam,25,30,35,1kg
